Age,Gender,Education Level,Job Title,Years of Experience,Salary,Math exam score,Programming exam score
46.0,Male,PhD,Senior Manager,20.0,170000.0,54,55
27.0,Male,Bachelor's,Technical Writer,2.0,45000.0,59,68
35.0,Female,Bachelor's,HR Generalist,7.0,60000.0,70,73
42.0,Male,Master's,Project Engineer,14.0,115000.0,67,59
26.0,Female,Bachelor's,Customer Success Rep,1.0,40000.0,60,60
49.0,Male,Bachelor's,Sales Executive,21.0,160000.0,81,78
34.0,Female,Master's,UX Designer,5.0,80000.0,57,65
48.0,Male,Master's,Operations Director,18.0,190000.0,55,49
30.0,Male,Bachelor's,Network Engineer,3.0,60000.0,72,70
36.0,Female,Bachelor's,Administrative Assistant,8.0,45000.0,72,83
41.0,Male,Master's,Strategy Consultant,13.0,130000.0,54,45
28.0,Female,Bachelor's,Copywriter,2.0,40000.0,52,59
32.0,Male,Bachelor's,Account Manager,5.0,75000.0,87,74
45.0,Female,Master's,Director of Marketing,16.0,180000.0,76,84
38.0,Male,PhD,Senior Scientist,11.0,120000.0,52,50
25.0,Male,Bachelor's,Help Desk Analyst,0.0,35000.0,58,59
51.0,Female,Bachelor's,Customer Service Manager,22.0,130000.0,57,68
33.0,Male,Master's,Business Intelligence Analyst,7.0,85000.0,77,74
40.0,Female,Bachelor's,Event Coordinator,12.0,60000.0,53,66
47.0,Male,Master's,VP of Finance,19.0,200000.0,45,37
29.0,Female,Bachelor's,Graphic Designer,3.0,50000.0,51,55
36.0,Male,Bachelor's,Sales Manager,9.0,95000.0,64,55
27.0,Female,Master's,UX Researcher,2.0,65000.0,55,62
43.0,Male,PhD,Senior Engineer,17.0,140000.0,63,62
30.0,Female,Bachelor's,Social Media Manager,4.0,55000.0,66,77
35.0,Male,Master's,Product Manager,7.0,105000.0,48,41
51.0,Female,Master's,Director of Operations,23.0,170000.0,57,75
29.0,Male,Bachelor's,Marketing Analyst,3.0,50000.0,64,57
40.0,Female,Bachelor's,HR Manager,12.0,80000.0,71,80
47.0,Male,PhD,Senior Data Scientist,21.0,180000.0,64,63
26.0,Male,Bachelor's,Junior Accountant,1.0,35000.0,62,58
38.0,Female,Master's,Digital Marketing Manager,10.0,90000.0,34,43
46.0,Male,Bachelor's,IT Manager,19.0,120000.0,50,44
31.0,Female,Bachelor's,Customer Service Representative,5.0,45000.0,82,85
34.0,Male,Master's,Business Development Manager,8.0,90000.0,44,37
49.0,Female,Master's,Senior Financial Analyst,18.0,150000.0,7,15
33.0,Male,Bachelor's,Web Developer,6.0,65000.0,34,27
39.0,Female,Bachelor's,Recruiter,11.0,70000.0,70,70
45.0,Male,PhD,Research Director,16.0,190000.0,78,80
28.0,Male,Bachelor's,Technical Support Specialist,2.0,40000.0,51,49
42.0,Female,Master's,Creative Director,14.0,120000.0,60,58
37.0,Male,Bachelor's,Project Manager,10.0,95000.0,52,55
50.0,Female,Bachelor's,Operations Manager,22.0,160000.0,59,73
32.0,Male,Master's,Senior Software Engineer,6.0,100000.0,72,62
48.0,Female,Master's,Human Resources Director,20.0,180000.0,42,58
30.0,Female,Bachelor's,Content Marketing Manager,3.0,55000.0,60,70
36.0,Male,Bachelor's,Technical Recruiter,8.0,70000.0,47,36
41.0,Female,Master's,Data Analyst,13.0,80000.0,42,48
25.0,Male,Bachelor's,Sales Representative,0.0,30000.0,30,39
52.0,Male,PhD,Chief Technology Officer,24.0,250000.0,68,70
29.0,Female,Bachelor's,Junior Designer,2.0,40000.0,60,69
34.0,Female,Master's,Financial Advisor,10.0,95000.0,63,66
27.0,Male,Bachelor's,Junior Account Manager,2.0,45000.0,45,53
40.0,Female,Bachelor's,HR Generalist,15.0,80000.0,51,50
46.0,Male,Master's,Senior Project Manager,21.0,135000.0,72,82
31.0,Female,Bachelor's,Marketing Coordinator,6.0,55000.0,73,79
36.0,Male,PhD,Principal Scientist,11.0,120000.0,65,62
29.0,Female,Bachelor's,Sales Associate,3.0,40000.0,77,83
43.0,Male,Bachelor's,Supply Chain Manager,18.0,105000.0,74,67
52.0,Female,Master's,Senior Marketing Manager,25.0,170000.0,67,75
33.0,Male,Bachelor's,Business Analyst,7.0,75000.0,67,74
39.0,Female,Bachelor's,Training Specialist,12.0,65000.0,59,65
47.0,Male,PhD,Research Scientist,22.0,160000.0,61,48
26.0,Male,Bachelor's,Junior Software Developer,1.0,35000.0,92,87
38.0,Female,Master's,Public Relations Manager,10.0,90000.0,71,77
45.0,Male,Bachelor's,Operations Analyst,20.0,110000.0,63,66
31.0,Female,Bachelor's,Event Coordinator,5.0,45000.0,66,74
35.0,Male,Master's,Product Marketing Manager,8.0,95000.0,61,50
49.0,Female,Master's,Senior HR Manager,19.0,150000.0,77,87
33.0,Male,Bachelor's,Junior Web Developer,5.0,50000.0,54,48
39.0,Female,Master's,Senior Project Coordinator,13.0,80000.0,63,70
44.0,Male,PhD,Chief Data Officer,16.0,220000.0,81,74
30.0,Female,Bachelor's,Digital Content Producer,3.0,50000.0,60,58
36.0,Male,Bachelor's,IT Support Specialist,7.0,60000.0,85,89
41.0,Female,Master's,Senior Marketing Analyst,14.0,100000.0,66,59
28.0,Male,Bachelor's,Customer Success Manager,2.0,40000.0,61,56
42.0,Female,Master's,Senior Graphic Designer,15.0,110000.0,84,84
37.0,Male,Bachelor's,Software Project Manager,9.0,95000.0,79,74
50.0,Female,Bachelor's,Supply Chain Analyst,22.0,130000.0,59,71
32.0,Male,Master's,Senior Business Analyst,6.0,90000.0,72,69
23.0,Female,Bachelor's,Junior Marketing Analyst,0.5,35000.0,85,95
31.0,Male,Master's,Senior Financial Analyst,6.0,95000.0,65,75
40.0,Female,Bachelor's,Office Manager,15.0,65000.0,53,67
48.0,Male,PhD,Principal Engineer,20.0,170000.0,80,74
29.0,Female,Bachelor's,Junior HR Generalist,3.0,45000.0,69,71
35.0,Male,Master's,Senior Product Manager,10.0,120000.0,86,81
42.0,Female,Bachelor's,Sales Manager,17.0,100000.0,76,94
53.0,Male,Master's,Director of Marketing,25.0,180000.0,51,43
33.0,Female,Bachelor's,Junior Operations Analyst,5.0,50000.0,53,55
38.0,Male,Bachelor's,Customer Service Manager,11.0,80000.0,81,69
44.0,Female,PhD,Senior Scientist,16.0,140000.0,96,98
26.0,Male,Bachelor's,Junior Accountant,2.0,40000.0,72,74
37.0,Female,Master's,Senior HR Generalist,9.0,95000.0,73,78
45.0,Male,Bachelor's,Sales Operations Manager,18.0,110000.0,58,50
32.0,Female,Bachelor's,Marketing Coordinator,4.0,50000.0,79,76
34.0,Male,Master's,Senior Software Developer,8.0,105000.0,51,41
50.0,Female,Master's,Director of Operations,21.0,160000.0,53,63
29.0,Male,Bachelor's,Junior Web Designer,3.0,45000.0,73,59
40.0,Female,Master's,Senior Training Specialist,12.0,100000.0,56,63
47.0,Male,PhD,Senior Research Scientist,22.0,160000.0,72,72
27.0,Male,Bachelor's,Junior Sales Representative,1.0,35000.0,60,50
39.0,Female,Bachelor's,Administrative Assistant,10.0,55000.0,80,81
46.0,Male,Master's,Senior Project Manager,19.0,140000.0,85,77
30.0,Female,Bachelor's,Junior Marketing Manager,4.0,50000.0,86,91
36.0,Male,Bachelor's,Junior Data Analyst,7.0,60000.0,88,76
43.0,Female,Master's,Senior Product Marketing Manager,14.0,120000.0,86,82
28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,71,65
41.0,Female,Master's,Senior Marketing Manager,13.0,110000.0,53,53
33.0,Male,Bachelor's,Junior Software Developer,5.0,50000.0,97,91
47.0,Male,Bachelor's,Senior Sales Manager,20.0,135000.0,60,70
25.0,Female,Master's,Junior Marketing Specialist,1.5,40000.0,75,82
34.0,Male,Bachelor's,Senior Business Analyst,8.0,90000.0,73,68
42.0,Female,PhD,Senior Data Scientist,16.0,150000.0,59,65
31.0,Male,Bachelor's,Junior Project Manager,4.0,60000.0,56,50
38.0,Female,Bachelor's,Senior Accountant,10.0,80000.0,77,69
45.0,Male,Master's,Director of Sales,19.0,175000.0,62,62
29.0,Female,Bachelor's,Junior Recruiter,3.0,45000.0,58,66
36.0,Male,Master's,Senior Business Development Manager,11.0,120000.0,54,61
43.0,Female,PhD,Senior Product Designer,18.0,140000.0,43,56
26.0,Male,Bachelor's,Junior Customer Support Specialist,2.0,35000.0,65,64
37.0,Female,Master's,Senior Marketing Analyst,9.0,95000.0,26,34
44.0,Male,Bachelor's,Senior IT Support Specialist,14.0,110000.0,77,75
32.0,Female,Bachelor's,Junior Financial Analyst,5.0,50000.0,70,80
33.0,Male,Master's,Senior Operations Manager,7.0,115000.0,49,55
51.0,Female,PhD,Director of Human Resources,23.0,185000.0,60,66
28.0,Male,Bachelor's,Junior Software Engineer,2.0,40000.0,50,50
39.0,Female,Bachelor's,Senior Sales Representative,12.0,90000.0,68,83
48.0,Male,Master's,Director of Product Management,21.0,175000.0,54,54
30.0,Female,Bachelor's,Junior Copywriter,3.0,45000.0,68,75
35.0,Male,Bachelor's,Senior Marketing Coordinator,7.0,80000.0,72,75
41.0,Female,Master's,Senior Human Resources Manager,13.0,120000.0,65,84
27.0,Male,Bachelor's,Junior Business Development Associate,1.5,35000.0,89,78
40.0,Female,Bachelor's,Senior Account Manager,14.0,110000.0,76,82
46.0,Male,PhD,Senior Researcher,18.0,150000.0,59,75
31.0,Female,Bachelor's,Junior HR Coordinator,4.0,50000.0,77,87
34.0,Male,Master's,Senior Software Engineer,9.0,105000.0,51,51
50.0,Female,Master's,Director of Finance,20.0,180000.0,92,95
29.0,Male,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,62,67
43.0,Male,Bachelor's,Senior Project Manager,16.0,140000.0,77,65
26.0,Female,Master's,Junior Data Scientist,1.5,45000.0,59,77
35.0,Male,Bachelor's,Senior Operations Analyst,7.0,85000.0,62,69
42.0,Female,PhD,Senior Marketing Manager,18.0,140000.0,67,76
31.0,Male,Bachelor's,Junior Accountant,4.0,50000.0,49,44
38.0,Female,Bachelor's,Senior Human Resources Coordinator,10.0,80000.0,69,70
46.0,Male,Master's,Director of Operations,20.0,170000.0,74,80
29.0,Female,Bachelor's,Junior Sales Representative,2.0,40000.0,79,78
37.0,Male,Master's,Senior Business Analyst,9.0,105000.0,74,62
44.0,Female,PhD,Senior UX Designer,15.0,145000.0,60,68
27.0,Male,Bachelor's,Junior Product Manager,2.0,40000.0,66,52
36.0,Female,Bachelor's,Senior Marketing Specialist,8.0,85000.0,45,55
43.0,Male,Bachelor's,Senior IT Project Manager,14.0,130000.0,58,66
33.0,Female,Master's,Senior Financial Analyst,6.0,95000.0,79,89
34.0,Male,Bachelor's,Senior Quality Assurance Analyst,9.0,100000.0,55,50
50.0,Female,PhD,Director of Sales and Marketing,22.0,180000.0,48,58
28.0,Male,Bachelor's,Junior Operations Analyst,1.5,35000.0,69,67
39.0,Female,Bachelor's,Senior Account Executive,12.0,95000.0,71,74
47.0,Male,Master's,Director of Business Development,19.0,170000.0,58,44
30.0,Female,Bachelor's,Junior Social Media Manager,3.0,45000.0,54,61
34.0,Male,Bachelor's,Senior Product Manager,7.0,95000.0,71,76
40.0,Female,Master's,Senior Human Resources Specialist,13.0,120000.0,94,96
28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,81,64
41.0,Female,Bachelor's,Senior Marketing Coordinator,11.0,90000.0,45,64
45.0,Male,PhD,Senior Data Analyst,17.0,155000.0,77,76
32.0,Female,Bachelor's,Junior Account Manager,5.0,55000.0,53,45
35.0,Male,Master's,Senior Software Developer,9.0,110000.0,80,77
49.0,Female,Master's,Director of Human Capital,21.0,180000.0,63,66
30.0,Male,Bachelor's,Junior Advertising Coordinator,3.0,45000.0,38,30
44.0,Male,Bachelor's,Senior Sales Manager,16.0,130000.0,60,58
27.0,Female,Master's,Junior UX Designer,1.5,45000.0,74,83
36.0,Male,Bachelor's,Senior Accountant,7.0,90000.0,83,79
41.0,Female,PhD,Senior Marketing Director,17.0,160000.0,65,67
31.0,Male,Bachelor's,Junior HR Generalist,4.0,50000.0,82,75
39.0,Female,Bachelor's,Senior Operations Manager,10.0,120000.0,61,65
47.0,Male,Master's,Director of Finance,20.0,170000.0,60,67
30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,70,80
38.0,Male,Master's,Senior IT Consultant,9.0,110000.0,64,58
45.0,Female,PhD,Senior Product Designer,15.0,150000.0,45,58
28.0,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0,84,73
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,77,75
44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0,83,73
34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0,68,83
35.0,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0,54,55
50.0,Female,PhD,Director of Operations,22.0,180000.0,66,75
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,35000.0,64,65
40.0,Female,Bachelor's,Senior Sales Representative,12.0,100000.0,60,67
48.0,Male,Master's,Director of Marketing,19.0,170000.0,77,65
31.0,Female,Bachelor's,Junior Social Media Specialist,3.0,45000.0,75,73
33.0,Male,Bachelor's,Senior Product Development Manager,7.0,100000.0,49,41
42.0,Female,Master's,Senior Human Resources Manager,13.0,140000.0,60,66
28.0,Male,Bachelor's,Junior Financial Analyst,2.0,40000.0,90,77
40.0,Female,Bachelor's,Senior Marketing Manager,11.0,105000.0,44,58
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0,79,84
33.0,Female,Bachelor's,Junior Operations Manager,5.0,70000.0,82,83
37.0,Male,Master's,Senior Software Architect,9.0,120000.0,82,79
51.0,Female,Master's,Director of Human Resources,21.0,190000.0,36,41
30.0,Male,Bachelor's,Junior Marketing Specialist,3.0,45000.0,64,66
43.0,Male,Bachelor's,Senior Project Manager,15.0,120000.0,58,54
27.0,Female,Master's,Junior Research Scientist,1.5,50000.0,56,73
35.0,Male,Bachelor's,Senior Operations Analyst,8.0,85000.0,81,77
42.0,Female,PhD,Senior Marketing Manager,13.0,140000.0,56,63
32.0,Male,Bachelor's,Junior Sales Representative,3.0,45000.0,72,67
37.0,Female,Bachelor's,Senior Financial Analyst,9.0,100000.0,55,73
45.0,Male,Master's,Senior Software Developer,16.0,140000.0,59,47
33.0,Female,Bachelor's,Junior Operations Analyst,5.0,70000.0,46,54
39.0,Male,Bachelor's,Senior Marketing Specialist,10.0,120000.0,72,71
44.0,Female,PhD,Senior HR Manager,18.0,160000.0,73,72
29.0,Male,Bachelor's,Junior Business Analyst,1.5,40000.0,81,70
38.0,Female,Bachelor's,Senior Product Manager,10.0,120000.0,87,92
46.0,Male,PhD,Senior Data Analyst,19.0,150000.0,83,73
34.0,Female,Bachelor's,Junior Marketing Analyst,6.0,70000.0,67,79
36.0,Male,Bachelor's,Senior Operations Manager,8.0,95000.0,67,54
49.0,Female,Master's,Director of Marketing,21.0,180000.0,66,73
31.0,Male,Bachelor's,Junior Financial Analyst,3.0,50000.0,46,53
41.0,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0,78,81
47.0,Male,Master's,Director of Operations,20.0,170000.0,78,74
30.0,Female,Bachelor's,Junior Marketing Coordinator,2.0,40000.0,57,54
38.0,Male,Master's,Senior IT Consultant,9.0,110000.0,57,54
45.0,Female,PhD,Senior Product Designer,15.0,150000.0,60,67
28.0,Male,Bachelor's,Junior Business Development Associate,2.0,40000.0,73,77
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,64,61
44.0,Male,Bachelor's,Senior Software Engineer,14.0,130000.0,75,76
34.0,Female,Master's,Senior Financial Advisor,6.0,100000.0,70,80
35.0,Male,Bachelor's,Senior Project Coordinator,9.0,95000.0,75,69
50.0,Female,PhD,Director of Operations,22.0,180000.0,62,68
29.0,Male,Bachelor's,Junior Business Operations Analyst,1.5,350.0,58,44
37.0,Female,Bachelor's,Senior Financial Manager,10.0,120000.0,61,69
46.0,Male,PhD,Senior Data Scientist,18.0,160000.0,67,62
31.0,Female,Bachelor's,Junior Marketing Coordinator,3.0,50000.0,66,65
42.0,Male,Bachelor's,Senior Operations Manager,12.0,110000.0,59,44
29.0,Female,Bachelor's,Junior Sales Representative,1.5,40000.0,70,77
36.0,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0,85,76
44.0,Female,Master's,Senior HR Specialist,15.0,140000.0,65,76
33.0,Male,Bachelor's,Junior Operations Manager,4.0,60000.0,83,74
39.0,Female,Bachelor's,Senior Marketing Coordinator,9.0,110000.0,63,74
45.0,Male,PhD,Senior Data Engineer,16.0,150000.0,70,61
32.0,Female,Bachelor's,Junior Marketing Manager,4.0,60000.0,44,51
37.0,Male,Bachelor's,Senior Financial Analyst,8.0,90000.0,51,46
47.0,Female,Master's,Director of Marketing,20.0,180000.0,95,88
30.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0,45,47
38.0,Female,Bachelor's,Senior Project Manager,9.0,120000.0,62,77
46.0,Male,PhD,Senior Data Analyst,17.0,160000.0,81,80
34.0,Female,Bachelor's,Junior Financial Analyst,5.0,70000.0,68,76
36.0,Male,Bachelor's,Senior Product Manager,8.0,95000.0,93,86
49.0,Female,Master's,Director of Operations,21.0,180000.0,87,91
31.0,Male,Bachelor's,Junior Operations Analyst,3.0,50000.0,82,75
41.0,Female,Bachelor's,Senior Project Coordinator,11.0,95000.0,70,66
47.0,Male,Master's,Director of Marketing,19.0,170000.0,72,77
29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0,47,58
35.0,Male,Bachelor's,Senior Financial Manager,9.0,100000.0,73,67
44.0,Female,PhD,Senior Product Designer,15.0,150000.0,66,69
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,86,70
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,84,91
44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0,61,60
32.0,Male,Bachelor's,Junior Product Manager,4.0,65000.0,77,80
38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0,59,72
49.0,Male,PhD,Director of Operations,21.0,180000.0,64,62
29.0,Female,Bachelor's,Junior Marketing Specialist,2.0,40000.0,64,75
35.0,Male,Bachelor's,Senior Business Development Manager,7.0,90000.0,50,45
45.0,Female,Master's,Senior HR Manager,14.0,140000.0,74,79
33.0,Male,Bachelor's,Junior Financial Analyst,4.0,60000.0,66,69
40.0,Female,Bachelor's,Senior Marketing Manager,12.0,130000.0,70,76
44.0,Male,PhD,Senior Data Scientist,16.0,160000.0,49,54
30.0,Female,Bachelor's,Junior Operations Coordinator,2.0,40000.0,39,49
37.0,Male,Bachelor's,Senior Marketing Analyst,9.0,100000.0,90,74
48.0,Female,Master's,Director of HR,20.0,180000.0,67,78
31.0,Male,Bachelor's,Junior Project Manager,3.0,55000.0,78,79
38.0,Female,Bachelor's,Senior Operations Coordinator,9.0,120000.0,66,75
45.0,Male,PhD,Senior Data Engineer,16.0,150000.0,59,53
33.0,Female,Bachelor's,Junior Marketing Manager,5.0,70000.0,69,77
36.0,Male,Bachelor's,Senior Business Analyst,8.0,95000.0,73,64
49.0,Female,Master's,Director of Marketing,21.0,180000.0,69,83
31.0,Male,Bachelor's,Junior Operations Analyst,3.0,50000.0,68,70
42.0,Female,Bachelor's,Senior Project Manager,12.0,120000.0,54,64
47.0,Male,Master's,Director of Marketing,19.0,170000.0,97,80
29.0,Female,Bachelor's,Junior Business Development Associate,1.5,35000.0,48,55
35.0,Male,Bachelor's,Senior Financial Manager,9.0,100000.0,50,46
44.0,Female,PhD,Senior Product Designer,15.0,150000.0,75,80
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,68,56
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,69,70
44.0,Male,Bachelor's,Senior Software Engineer,13.0,130000.0,64,65
34.0,Female,Master's,Senior Financial Advisor,6.0,80000.0,57,73
36.0,Male,Bachelor's,Senior Marketing Specialist,8.0,95000.0,66,65
30.0,Female,Bachelor's,Junior HR Coordinator,2.0,40000.0,76,87
37.0,Male,Bachelor's,Senior Business Development Manager,10.0,120000.0,78,77
45.0,Female,Master's,Senior Marketing Manager,16.0,160000.0,61,60
32.0,Male,Bachelor's,Junior Financial Advisor,4.0,65000.0,60,69
39.0,Female,Bachelor's,Senior Project Manager,12.0,130000.0,65,79
47.0,Male,PhD,Director of Engineering,20.0,180000.0,60,62
29.0,Female,Bachelor's,Junior Marketing Analyst,2.0,40000.0,76,75
36.0,Male,Bachelor's,Senior Operations Manager,9.0,100000.0,30,21
43.0,Female,PhD,Senior Data Scientist,15.0,150000.0,67,80
32.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0,80,74
38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0,43,52
48.0,Male,Master's,Director of Marketing,21.0,180000.0,68,62
31.0,Female,Bachelor's,Junior Business Development Associate,3.0,50000.0,42,46
40.0,Male,Bachelor's,Senior Financial Analyst,12.0,130000.0,47,38
45.0,Female,PhD,Senior UX Designer,16.0,160000.0,81,90
33.0,Male,Bachelor's,Junior Product Manager,4.0,60000.0,61,54
36.0,Female,Bachelor's,Senior Marketing Manager,8.0,95000.0,40,49
47.0,Male,Master's,Director of Operations,19.0,170000.0,88,80
29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0,80,92
34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0,75,70
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0,61,65
33.0,Male,Bachelor's,Junior Marketing Specialist,5.0,70000.0,50,46
35.0,Female,Bachelor's,Senior Financial Manager,8.0,90000.0,28,33
43.0,Male,Master's,Director of Marketing,18.0,170000.0,55,54
31.0,Female,Bachelor's,Junior Financial Analyst,3.0,50000.0,36,58
41.0,Male,Bachelor's,Senior Product Manager,14.0,150000.0,67,66
44.0,Female,PhD,Senior Data Engineer,16.0,160000.0,62,63
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,76,68
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,66,72
45.0,Male,Master's,Director of Engineering,19.0,180000.0,63,60
28.0,Female,Bachelor's,Junior Operations Manager,1.0,35000.0,70,72
36.0,Male,Bachelor's,Senior Business Development Manager,8.0,110000.0,72,65
44.0,Female,PhD,Senior Data Scientist,16.0,160000.0,78,91
31.0,Male,Bachelor's,Junior Marketing Coordinator,3.0,55000.0,87,74
38.0,Female,Bachelor's,Senior Business Analyst,10.0,110000.0,53,68
48.0,Male,Master's,Director of Marketing,21.0,180000.0,66,53
31.0,Female,Bachelor's,Junior Business Development Associate,3.0,50000.0,64,77
40.0,Male,Bachelor's,Senior Financial Analyst,12.0,130000.0,64,63
45.0,Female,PhD,Senior UX Designer,16.0,160000.0,46,59
33.0,Male,Bachelor's,Junior Product Manager,4.0,60000.0,60,62
36.0,Female,Bachelor's,Senior Marketing Manager,8.0,95000.0,59,67
47.0,Male,Master's,Director of Operations,19.0,170000.0,80,78
29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0,63,71
34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0,55,59
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0,44,68
33.0,Male,Bachelor's,Junior Marketing Specialist,5.0,70000.0,49,62
35.0,Female,Bachelor's,Senior Financial Manager,8.0,90000.0,82,85
43.0,Male,Master's,Director of Marketing,18.0,170000.0,67,52
31.0,Female,Bachelor's,Junior Financial Analyst,3.0,50000.0,58,63
41.0,Male,Bachelor's,Senior Product Manager,14.0,150000.0,63,62
44.0,Female,PhD,Senior Data Engineer,16.0,160000.0,52,59
33.0,Male,Bachelor's,Junior Business Analyst,4.0,60000.0,81,70
35.0,Female,Bachelor's,Senior Marketing Analyst,8.0,85000.0,31,35
43.0,Male,Master's,Director of Operations,19.0,170000.0,74,72
29.0,Female,Bachelor's,Junior Project Manager,2.0,40000.0,47,58
34.0,Male,Bachelor's,Senior Operations Coordinator,7.0,90000.0,48,43
44.0,Female,PhD,Senior Business Analyst,15.0,150000.0,72,81
31.0,Male,Master's,Data Scientist,6.0,160000.0,66,63
28.0,Female,Bachelor's,Software Engineer,3.0,125000.0,47,73
26.0,Male,Master's,Product Manager,2.0,120000.0,82,92
27.0,Female,Bachelor's,Data Analyst,2.0,110000.0,79,94
30.0,Male,PhD,Data Scientist,5.0,180000.0,79,72
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0,58,74
32.0,Male,Bachelor's,Product Manager,7.0,170000.0,73,75
25.0,Female,Master's,Data Analyst,1.0,100000.0,79,80
33.0,Male,PhD,Data Scientist,8.0,190000.0,70,59
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0,86,95
28.0,Male,Master's,Product Manager,3.0,130000.0,73,69
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0,71,75
27.0,Male,PhD,Data Scientist,2.0,115000.0,62,58
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0,80,78
34.0,Male,Bachelor's,Product Manager,9.0,185000.0,52,42
25.0,Female,Master's,Data Analyst,1.0,100000.0,41,47
33.0,Male,PhD,Data Scientist,8.0,190000.0,72,57
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0,40,44
28.0,Male,Master's,Product Manager,3.0,130000.0,60,55
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0,65,72
28.0,Male,Bachelor's,Software Engineer,3.0,125000.0,53,43
26.0,Female,Master's,Product Manager,2.0,120000.0,63,66
27.0,Male,Bachelor's,Data Analyst,2.0,110000.0,66,62
30.0,Female,PhD,Data Scientist,5.0,180000.0,57,66
